"equipment_id","equipment_type","name","diamond","description","icon","attack","attack_bonus","crit_rate","crit_damage","damage_bonus","normal_attack_damage","skill_damage","power","dismantle_gold"
"100010001","1","见习铁剑","50","第1阶武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","weapons:iron-sword","20","","","","","","","","10"
"100010002","2","木制圆盾","50","第1阶副武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","2%","","","","","","","10"
"100010003","3","皮革兜帽","50","第1阶头盔。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","2%","","","","","","10"
"100010004","4","旅者布衣","50","第1阶衣服。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","","5%","","","","","10"
"100010005","5","皮质腰带","50","第1阶腰带。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:equipment","","","","","1%","","","","10"
"100010006","6","旅者短靴","50","第1阶鞋子。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:equipment","","","","","","2%","","","10"
"100010007","7","微光护符","50","第1阶神器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","","2%","","10"
"100010008","1","骑士长剑","120","第2阶武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","weapons:wood-sword","4","","","","","","","","25"
"100010009","2","精钢护盾","120","第2阶副武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","0.04","","","","","","","25"
"100010010","3","精钢战盔","120","第2阶头盔。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","0.04","","","","","","25"
"100010011","4","精钢胸甲","120","第2阶衣服。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","","0.1","","","","","25"
"100010012","5","守卫腰带","120","第2阶腰带。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:equipment","","","","","0.02","","","","25"
"100010013","6","钢鳞战靴","120","第2阶鞋子。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:equipment","","","","","","0.04","","","25"
"100010014","7","元素徽记","120","第2阶神器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","","0.04","","25"
"100010015","1","秘银符文剑","300","第3阶武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","weapons:magic-staff","8","","","","","","","","60"
"100010016","2","秘法壁垒","300","第3阶副武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","0.08","","","","","","","60"
"100010017","3","符文头冠","300","第3阶头盔。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","0.08","","","","","","60"
"100010018","4","秘银战甲","300","第3阶衣服。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","","0.2","","","","","60"
"100010019","5","符文束带","300","第3阶腰带。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","0.04","","","","60"
"100010020","6","秘银长靴","300","第3阶鞋子。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:equipment","","","","","","0.08","","","60"
"100010021","7","秘法圣物","300","第3阶神器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","","0.08","","60"
"100010022","1","暮光断魂剑","800","第4阶武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","weapons:flame-blade","16","","","","","","","","150"
"100010023","2","龙鳞圣盾","800","第4阶副武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","0.16","","","","","","","150"
"100010024","3","龙魂战盔","800","第4阶头盔。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","0.16","","","","","","150"
"100010025","4","圣光龙铠","800","第4阶衣服。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:armor","","","","0.4","","","","","150"
"100010026","5","巨龙腰封","800","第4阶腰带。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","0.08","","","","150"
"100010027","6","圣光战靴","800","第4阶鞋子。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","0.16","","","150"
"100010028","7","诸神遗物","800","第4阶神器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","","0.16","","150"
"100010029","1","创世圣剑","","第5阶武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","weapons:flame-blade","32","","","","","","","","350"
"100010030","2","永恒神盾","","第5阶副武器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","0.32","","","","","","","350"
"100010031","3","诸神冠冕","","第5阶头盔。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","0.32","","","","","","350"
"100010032","4","永恒神铠","","第5阶衣服。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","0.8","","","","","350"
"100010033","5","创世腰带","","第5阶腰带。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","0.16","","","","350"
"100010034","6","永恒神靴","","第5阶鞋子。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","0.32","","","350"
"100010035","7","创世神器","","第5阶神器。可通过合成订单获得，装备数值将在后续战斗系统中生效。","ui:relic","","","","","","","0.32","","350"
"100020001","8","技能书","100","通用技能货币，可用于解锁主角技能，以及升级主角和队友。每100钻石可兑换100本。","ui:skills","","","","","","","","","0"
"100030001","9","流浪剑士","150","队友：流浪剑士。获得后可在英雄页解锁并上阵。","heroes:sword","1","","20%","","","","","","0"
"100030002","9","荒野游侠","300","队友：荒野游侠。获得后可在英雄页解锁并上阵。","heroes:archer","3","","20%","","","","","","0"
