cell_index,item_id,lock_state
0,1004005,2
1,1004001,2
2,1008002,2
3,1004004,2
4,1004004,2
5,1004004,2
6,1004004,2
7,1004001,2
8,1004007,2
9,1005004,2
10,1006003,2
11,1001001,2
12,1001002,2
13,1004004,2
14,1004001,2
15,1004007,2
16,1004006,2
17,1004005,2
18,1006001,2
19,1006001,2
20,1006003,2
21,1004004,2
22,1001001,0
23,1004002,2
24,1005002,2
25,1004002,2
26,1006005,2
27,1007003,2
28,1004003,2
29,1001001,0
30,1001002,1
31,1001003,2
32,1004005,2
33,1002003,2
34,1006002,2
35,1002001,2
36,1005003,2
37,1005001,2
38,1004005,2
39,1005003,2
40,1004003,2
41,1004003,2
42,1003002,2
43,1006004,2
44,1002002,2
45,1003001,2
46,1005006,2
47,1004004,2
48,1005003,2
49,1007001,2
50,1007002,2
51,1008001,2
52,1008001,2
53,1008002,2
54,1008003,2
55,1008003,2
56,1008002,2
57,1007002,2
58,1006002,2
59,1005002,2
60,1004006,2
61,1007003,2
62,1008005,2
