"item_id","item_type","chain_type","level","next_id","name","open_cost","drop_pool","icon","iconName","description"
"1001001","generator","1","1","1001002","装备宝箱","","","items.svg","item-1001001","与相同棋子合成，最高级生成器可双击使用"
"1001002","generator","1","2","1001003","装备宝箱","","","items.svg","item-1001002","与相同棋子合成，最高级生成器可双击使用"
"1001003","generator","1","3","1001004","装备宝箱","","","items.svg","item-1001003","与相同棋子合成，最高级生成器可双击使用"
"1001004","generator","1","4","1001005","装备宝箱","20","1004001;20|1004002;5|1005001;5","items.svg","item-1001004","与相同棋子合成，最高级生成器可双击使用"
"1001005","generator","1","5","1001006","装备宝箱","50","1004001;17|1004002;5|1005001;5|1004003;3","items.svg","item-1001005","与相同棋子合成，最高级生成器可双击使用"
"1001006","generator","1","6","1001007","装备宝箱","100","1004001;15|1004002;5|1005001;5|1004003;3|1005002;2","items.svg","item-1001006","与相同棋子合成，最高级生成器可双击使用"
"1001007","generator","1","7","1001008","装备宝箱","200","1004002;15|1005001;5|1004003;5|1005002;3|1004004;2","items.svg","item-1001007","与相同棋子合成，最高级生成器可双击使用"
"1001008","generator","1","8","1001009","装备宝箱","500","1005001;15|1004003;5|1005002;5|1004004;3|1005003;2","items.svg","item-1001008","与相同棋子合成，最高级生成器可双击使用"
"1001009","generator","1","9","1001010","装备宝箱","1000","1004003;15|1005002;5|1004004;5|1005003;3|1004005;2","items.svg","item-1001009","与相同棋子合成，最高级生成器可双击使用"
"1001010","generator","1","10","1001011","装备宝箱","2000","1005002;15|1004004;5|1005003;5|1004005;3|1005004;2","items.svg","item-1001010","与相同棋子合成，最高级生成器可双击使用"
"1001011","generator","1","11","","装备宝箱","5000","1005002;15|1004004;5|1005003;5|1004005;3|1005004;2","items.svg","item-1001011","双击消耗金币，生成一个随机棋子"
"1002001","generator","2","1","1002002","宝石宝箱","","","items.svg","item-1002001","与相同棋子合成，最高级生成器可双击使用"
"1002002","generator","2","2","1002003","宝石宝箱","","","items.svg","item-1002002","与相同棋子合成，最高级生成器可双击使用"
"1002003","generator","2","3","1002004","宝石宝箱","20","1006001;20","items.svg","item-1002003","与相同棋子合成，最高级生成器可双击使用"
"1002004","generator","2","4","1002005","宝石宝箱","50","1006001;20","items.svg","item-1002004","与相同棋子合成，最高级生成器可双击使用"
"1002005","generator","2","5","1002006","宝石宝箱","100","1006001;20|1007001;5","items.svg","item-1002005","与相同棋子合成，最高级生成器可双击使用"
"1002006","generator","2","6","1002007","宝石宝箱","200","1006001;15|1007001;5|1006002;3|1006003;2","items.svg","item-1002006","与相同棋子合成，最高级生成器可双击使用"
"1002007","generator","2","7","1002008","宝石宝箱","500","1006001;15|1007001;5|1006002;3|1006003;2|1007002;2","items.svg","item-1002007","与相同棋子合成，最高级生成器可双击使用"
"1002008","generator","2","8","1002009","宝石宝箱","1000","1007001;15|1006002;5|1006003;3|1007002;2|1006004;2","items.svg","item-1002008","与相同棋子合成，最高级生成器可双击使用"
"1002009","generator","2","9","1002010","宝石宝箱","2000","1006002;15|1006003;5|1007002;3|1006004;2|1006005;2","items.svg","item-1002009","与相同棋子合成，最高级生成器可双击使用"
"1002010","generator","2","10","1002011","宝石宝箱","5000","1006003;15|1007002;5|1006004;3|1006005;2|1006006;2","items.svg","item-1002010","与相同棋子合成，最高级生成器可双击使用"
"1002011","generator","2","11","","宝石宝箱","10000","1007002;15|1006004;5|1006005;3|1006006;2|1006007;2","items.svg","item-1002011","双击消耗金币，生成一个随机棋子"
"1003001","generator","3","1","1003002","召唤兽小屋","","","items.svg","item-1003001","与相同棋子合成，最高级生成器可双击使用"
"1003002","generator","3","2","1003003","召唤兽小屋","","","items.svg","item-1003002","与相同棋子合成，最高级生成器可双击使用"
"1003003","generator","3","3","1003004","召唤兽小屋","","","items.svg","item-1003003","与相同棋子合成，最高级生成器可双击使用"
"1003004","generator","3","4","1003005","召唤兽小屋","1000","1008001;20","items.svg","item-1003004","与相同棋子合成，最高级生成器可双击使用"
"1003005","generator","3","5","1003006","召唤兽小屋","2000","1008001;20|1008002;5","items.svg","item-1003005","与相同棋子合成，最高级生成器可双击使用"
"1003006","generator","3","6","1003007","召唤兽小屋","5000","1008001;15|1008002;5|1008003;5","items.svg","item-1003006","与相同棋子合成，最高级生成器可双击使用"
"1003007","generator","3","7","","召唤兽小屋","10000","1008001;15|1008002;5|1008003;5|1008004;5","items.svg","item-1003007","双击消耗金币，生成一个随机棋子"
"1004001","normal","4","1","1004002","白铁剑","","","items.svg","item-1004001","拖动两个相同棋子进行合成"
"1004002","normal","4","2","1004003","钢锋剑","","","items.svg","item-1004002","拖动两个相同棋子进行合成"
"1004003","normal","4","3","1004004","破法剑","","","items.svg","item-1004003","拖动两个相同棋子进行合成"
"1004004","normal","4","4","1004005","符文剑","","","items.svg","item-1004004","拖动两个相同棋子进行合成"
"1004005","normal","4","5","1004006","秘银剑","","","items.svg","item-1004005","拖动两个相同棋子进行合成"
"1004006","normal","4","6","1004007","暮色剑","","","items.svg","item-1004006","拖动两个相同棋子进行合成"
"1004007","normal","4","7","1004008","断魂剑","","","items.svg","item-1004007","拖动两个相同棋子进行合成"
