"order_id","max_concurrent","requirements","equipment_id","quantity"
"1","1","1004003","100010001","1"
"2","1","1004008","100030002","1"
"3","1","1004004","100010002","1"
"4","1","1004006","100010003","1"
"5","1","1005003","100020001","10"
"6","2","1005004","100010004","1"
"7","2","1005003；1004006","100030002","1"
"8","2","1005005","100010005","1"
"9","2","1004005","100010006","1"
"10","2","1005004","100010007","1"
"11","2","1007003","100010008","1"
"12","2","1007004","100020001","10"
"13","2","1006006","100010009","1"
"14","2","1004007","100020001","10"
"15","2","1005002；1006005","100030002","1"
"16","2","1004007；1007002","100030003","1"
"17","2","1004008","100010010","1"
"18","2","1006006","100030004","1"
"19","2","1006007","100010011","1"
"20","2","1005005；1007003","100030002","1"
"21","3","1004006；1005004","100030003","1"
"22","3","1005005","100020001","10"
"23","3","1004005","100010012","1"
"24","3","1005004","100020001","10"
"25","3","1007003","100010013","1"
"26","3","1007004","100010014","1"
"27","3","1006006","100020001","10"
"28","3","1004007","100010015","1"
"29","3","1005002；1006005","100030004","1"
"30","3","1004007；1007002","100030005","1"
"31","3","1008002","100020001","10"
"32","3","1006006","100030002","1"
"33","3","1006007","100020001","10"
"34","3","1005005；1007003","100030005","1"
"35","3","1004006；1005004","100030006","1"
"36","3","1005005","100010016","1"
"37","3","1004005","100020001","10"
"38","3","1005004","100010017","1"
"39","3","1007003","100010018","1"
"40","3","1007004","100020001","10"
"41","3","1006006","100010019","1"
"42","3","1004007","100010020","1"
"43","3","1005002；1006005","100030005","1"
"44","3","1004007；1007002","100030006","1"
"45","3","1008002","100010021","1"
"46","3","1006006","100020001","10"
"47","3","1006007","100010022","1"
"48","3","1005005；1007003","100030002","1"
"49","3","1004006；1005004","100030003","1"
"50","3","1005005","100020001","10"
"51","3","1004005","100010023","1"
"52","3","1005004","100020001","10"
"53","3","1007003","100010024","1"
"54","3","1007004","100020001","10"
"55","3","1006006","100010025","1"
"56","3","1004007","100010026","1"
"57","3","1005002；1006005","100030003","1"
"58","3","1004007；1007002","100030004","1"
"59","3","1004008","100010027","1"
"60","4","1006006","100020001","10"
"61","4","1006007","100010028","1"
"62","4","1005005；1007003","100030004","1"
"63","4","1004006；1005004","100030005","1"
"64","4","1005005","100010029","1"
"65","4","1004005","100020001","10"
"66","4","1008004","100010030","1"
"67","4","1007003","100020001","10"
"68","4","1007004","100010031","1"
"69","4","1006006","100020001","10"
"70","4","1004007","100010032","1"
"71","4","1005002；1006005","100030005","1"
"72","4","1004007；1007002","100030006","1"
"73","4","1004008","100010033","1"
"74","4","1006006","100020001","10"
"75","4","1006007","100010034","1"
"76","4","1005005；1007003","100030006","1"
"77","4","1004006；1005004","100030007","1"
"78","4","1005005","100010035","1"
"79","4","1004005","100020001","10"
"80","4","1005004","100030002","1"
"81","4","1007003","100020001","10"
"82","4","1007004","100010028","1"
"83","4","1008004","100030002","1"
"84","4","1004007","100010029","1"
"85","4","1005002；1006005","100030006","1"
"86","4","1004007；1007002","100030007","1"
"87","4","1004008","100030002","1"
"88","4","1006006","100020001","10"
"89","4","1006007","100010031","1"
"90","4","1005005；1007003","100030006","1"
"91","4","1004006；1005004","100030007","1"
"92","4","1005005","100030002","1"
"93","4","1004005","100010032","1"
"94","4","1005004","100020001","10"
"95","4","1007003","100030002","1"
"96","4","1007004","100030003","1"
"97","4","1008004","100010033","1"
"98","4","1004007","100020001","10"
"99","4","1005002；1006005","100030006","1"
"100","4","1004007；1007002","100030007","1"
