"reward_id","gold"
"100010001","100"
"100010002","150"
"100010003","200"
"100010004","250"
"100010005","300"
"100010006","350"
"100010007","400"
"100010008","450"
"100010009","500"
"100010010","550"
"100010011","600"
"100010012","650"
"100010013","700"
"100010014","750"
"100010015","800"
"100010016","850"
"100010017","900"
"100010018","950"
"100010019","1000"
"100010020","1050"
"100010021","1100"
"100010022","1150"
"100010023","1200"
"100010024","1250"
"100010025","1300"
"100010026","1350"
"100010027","1400"
"100010028","1450"
"100010029","1500"
"100010030","1550"
"100010031","1600"
"100010032","1650"
"100010033","1700"
"100010034","1750"
"100010035","1800"
"100020001","500"
"100030002","1500"
"100030003","2000"
"100030004","3000"
"100030005","5000"
"100030006","8000"
"100030007","12000"
