"monster_id","hp","has_time_limit","time_limit","gold_reward"
"1","100","0","","5"
"2","110","0","","5"
"3","120","0","","6"
"4","130","0","","6"
"5","140","0","","7"
"6","150","0","","7"
"7","160","0","","8"
"8","170","0","","8"
"9","180","0","","9"
"10","200","1","30","9"
"11","180","0","","10"
"12","192","0","","10"
"13","204","0","","11"
"14","216","0","","11"
"15","240","0","","12"
"16","216","0","","12"
"17","230","0","","13"
"18","245","0","","13"
"19","259","0","","14"
"20","288","1","30","14"
"21","259","0","","15"
"22","276","0","","15"
"23","294","0","","16"
"24","311","0","","16"
"25","346","0","","17"
"26","311","0","","17"
"27","331","0","","18"
"28","353","0","","18"
"29","373","0","","19"
"30","415","1","30","19"
"31","373","0","","20"
"32","397","0","","20"
"33","424","0","","21"
"34","448","0","","21"
"35","498","0","","22"
"36","448","0","","22"
"37","476","0","","23"
"38","509","0","","23"
"39","538","0","","24"
"40","598","1","30","24"
"41","538","0","","25"
"42","571","0","","25"
"43","611","0","","26"
"44","646","0","","26"
"45","718","0","","27"
"46","646","0","","27"
"47","685","0","","28"
"48","733","0","","28"
"49","775","0","","29"
"50","862","1","30","29"
"51","775","0","","30"
"52","822","0","","30"
"53","880","0","","31"
"54","930","0","","31"
"55","1034","0","","32"
"56","930","0","","32"
"57","986","0","","33"
"58","1056","0","","33"
"59","1116","0","","34"
"60","1241","1","30","34"
"61","1116","0","","35"
"62","1183","0","","35"
"63","1267","0","","36"
"64","1339","0","","36"
"65","1489","0","","37"
"66","1339","0","","37"
"67","1420","0","","38"
"68","1520","0","","38"
"69","1607","0","","39"
"70","1787","1","30","39"
"71","1607","0","","40"
"72","1704","0","","40"
"73","1824","0","","41"
"74","1928","0","","41"
"75","2144","0","","42"
"76","1928","0","","42"
"77","2045","0","","43"
"78","2189","0","","43"
"79","2314","0","","44"
"80","2573","1","30","44"
"81","2314","0","","45"
"82","2454","0","","45"
"83","2627","0","","46"
"84","2777","0","","46"
"85","3088","0","","47"
"86","2777","0","","47"
"87","2945","0","","48"
"88","3152","0","","48"
"89","3332","0","","49"
"90","3706","1","30","49"
"91","3332","0","","50"
"92","3534","0","","50"
"93","3782","0","","51"
"94","3998","0","","51"
"95","4447","0","","52"
"96","3998","0","","52"
"97","4241","0","","53"
"98","4538","0","","53"
"99","4798","0","","54"
"100","5336","1","30","54"
