skill_id,owner_id,name,skill_type,description,coefficient,cooldown_seconds,unlock_level,upgrade_cost,per_level_increase,effect_stat,shape,color,accent
10001,100000001,英勇斩击,1,对敌人造成[1]的伤害,100%,1,1,10,10%,none,slash,#ffe08a,#ffffff
10002,100000001,圣光裁决,2,对敌人造成[1]的伤害,100%,600,10,10,10%,none,meteor,#ffb347,#fff3b0
10003,100000001,雷霆震击,2,对敌人造成[1]的伤害,100%,200,20,10,10%,none,lightning,#54d8ff,#ffffff
10004,100000001,勇气祝福,3,攻击提升[1],100%,0,30,10,10%,attack_bonus,slash,#ffe08a,#ffffff
10005,100000001,战神意志,3,攻击提升[1],100%,0,50,10,10%,attack_bonus,void,#c05cff,#ff8ee7
20001,100030001,剑术入门,3,攻击提升[1],20,0,1,0,0,attack,slash,,
20002,100030001,精准架势,3,暴击率提升[1],10%,0,2,0,0,crit_rate,slash,,
20003,100030001,重击训练,3,普攻伤害提升[1],25%,0,3,0,0,normal_attack_damage,slash,,
20004,100030001,锋刃淬炼,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,slash,,
20005,100030001,致命剑锋,3,暴击伤害提升[1],30%,0,5,0,0,crit_damage,slash,,
20006,100030001,战斗专注,3,伤害加成提升[1],25%,0,6,0,0,damage_bonus,slash,,
20007,100030001,破甲剑势,3,技能伤害提升[1],40%,0,7,0,0,skill_damage,slash,,
20008,100030001,连击心得,3,普攻伤害提升[1],40%,0,8,0,0,normal_attack_damage,slash,,
20009,100030001,剑圣之心,3,攻击加成提升[1],50%,0,9,0,0,attack_bonus,slash,,
20010,100030001,无双剑意,3,伤害加成提升[1],50%,0,10,0,0,damage_bonus,slash,,
20101,100030002,鹰眼,3,暴击率提升[1],10%,0,1,0,0,crit_rate,slash,,
20102,100030002,强弓,3,攻击提升[1],20,0,2,0,0,attack,slash,,
20103,100030002,穿云箭,3,普攻伤害提升[1],25%,0,3,0,0,normal_attack_damage,slash,,
20104,100030002,风之瞄准,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,slash,,
20105,100030002,弱点洞察,3,暴击伤害提升[1],30%,0,5,0,0,crit_damage,slash,,
20106,100030002,狩猎本能,3,伤害加成提升[1],25%,0,6,0,0,damage_bonus,slash,,
20107,100030002,魔法箭矢,3,技能伤害提升[1],40%,0,7,0,0,skill_damage,slash,,
20108,100030002,箭雨心得,3,普攻伤害提升[1],40%,0,8,0,0,normal_attack_damage,slash,,
20109,100030002,百步穿杨,3,暴击率提升[1],25%,0,9,0,0,crit_rate,slash,,
20110,100030002,猎神之眼,3,伤害加成提升[1],50%,0,10,0,0,damage_bonus,slash,,
20201,100030003,魔力启蒙,3,攻击提升[1],20,0,1,0,0,attack,frost,,
20202,100030003,元素感知,3,技能伤害提升[1],25%,0,2,0,0,skill_damage,frost,,
20203,100030003,法术聚焦,3,暴击率提升[1],10%,0,3,0,0,crit_rate,frost,,
20204,100030003,奥术增幅,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,frost,,
20205,100030003,法力爆发,3,暴击伤害提升[1],30%,0,5,0,0,crit_damage,frost,,
20206,100030003,元素共鸣,3,伤害加成提升[1],25%,0,6,0,0,damage_bonus,frost,,
20207,100030003,秘法穿透,3,技能伤害提升[1],40%,0,7,0,0,skill_damage,frost,,
20208,100030003,魔能灌注,3,攻击提升[1],40,0,8,0,0,attack,frost,,
20209,100030003,大法师智慧,3,攻击加成提升[1],50%,0,9,0,0,attack_bonus,frost,,
20210,100030003,奥术真理,3,伤害加成提升[1],50%,0,10,0,0,damage_bonus,frost,,
20301,100030004,坚毅训练,3,攻击提升[1],20,0,1,0,0,attack,lightning,,
20302,100030004,圣盾意志,3,伤害加成提升[1],15%,0,2,0,0,damage_bonus,lightning,,
20303,100030004,正义打击,3,普攻伤害提升[1],25%,0,3,0,0,normal_attack_damage,lightning,,
20304,100030004,王城战技,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,lightning,,
20305,100030004,审判之眼,3,暴击率提升[1],10%,0,5,0,0,crit_rate,lightning,,
20306,100030004,神圣力量,3,技能伤害提升[1],25%,0,6,0,0,skill_damage,lightning,,
20307,100030004,荣耀誓言,3,暴击伤害提升[1],30%,0,7,0,0,crit_damage,lightning,,
20308,100030004,不屈攻势,3,普攻伤害提升[1],40%,0,8,0,0,normal_attack_damage,lightning,,
20309,100030004,骑士统御,3,攻击加成提升[1],50%,0,9,0,0,attack_bonus,lightning,,
20310,100030004,圣光化身,3,伤害加成提升[1],50%,0,10,0,0,damage_bonus,lightning,,
20401,100030005,暗影步法,3,暴击率提升[1],10%,0,1,0,0,crit_rate,void,,
20402,100030005,毒刃,3,攻击提升[1],20,0,2,0,0,attack,void,,
20403,100030005,背刺诀窍,3,暴击伤害提升[1],30%,0,3,0,0,crit_damage,void,,
20404,100030005,隐匿杀机,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,void,,
20405,100030005,弱点切割,3,普攻伤害提升[1],25%,0,5,0,0,normal_attack_damage,void,,
20406,100030005,杀戮本能,3,伤害加成提升[1],25%,0,6,0,0,damage_bonus,void,,
20407,100030005,影袭精通,3,技能伤害提升[1],40%,0,7,0,0,skill_damage,void,,
20408,100030005,致命节奏,3,暴击率提升[1],20%,0,8,0,0,crit_rate,void,,
20409,100030005,暗夜猎手,3,攻击加成提升[1],50%,0,9,0,0,attack_bonus,void,,
20410,100030005,影之王,3,暴击伤害提升[1],60%,0,10,0,0,crit_damage,void,,
20501,100030006,圣言启迪,3,攻击提升[1],20,0,1,0,0,attack,frost,,
20502,100030006,信仰之力,3,攻击加成提升[1],15%,0,2,0,0,attack_bonus,frost,,
20503,100030006,神圣专注,3,暴击率提升[1],10%,0,3,0,0,crit_rate,frost,,
20504,100030006,光辉打击,3,普攻伤害提升[1],25%,0,4,0,0,normal_attack_damage,frost,,
20505,100030006,祝福武器,3,伤害加成提升[1],25%,0,5,0,0,damage_bonus,frost,,
20506,100030006,圣光灌注,3,技能伤害提升[1],25%,0,6,0,0,skill_damage,frost,,
20507,100030006,虔诚信念,3,暴击伤害提升[1],30%,0,7,0,0,crit_damage,frost,,
20508,100030006,神恩庇护,3,攻击提升[1],40,0,8,0,0,attack,frost,,
20509,100030006,大主教祝福,3,攻击加成提升[1],50%,0,9,0,0,attack_bonus,frost,,
20510,100030006,神圣化身,3,伤害加成提升[1],50%,0,10,0,0,damage_bonus,frost,,
20601,100030007,狂怒初燃,3,攻击提升[1],30,0,1,0,0,attack,meteor,,
20602,100030007,嗜血本能,3,暴击率提升[1],10%,0,2,0,0,crit_rate,meteor,,
20603,100030007,重斧精通,3,普攻伤害提升[1],25%,0,3,0,0,normal_attack_damage,meteor,,
20604,100030007,战意沸腾,3,攻击加成提升[1],25%,0,4,0,0,attack_bonus,meteor,,
20605,100030007,残暴打击,3,暴击伤害提升[1],30%,0,5,0,0,crit_damage,meteor,,
20606,100030007,浴血奋战,3,伤害加成提升[1],25%,0,6,0,0,damage_bonus,meteor,,
20607,100030007,怒火释放,3,技能伤害提升[1],40%,0,7,0,0,skill_damage,meteor,,
